id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
PHE-8806_219,"Panzerotti","Sabores: Horebs especial",https://pizzeriahorebs.com/wp-content/uploads/2023/04/panzerotti-1.jpg,https://pizzeriahorebs.com/producto/panzerotti/?attribute_pa_sabores=horebs-especial,"499988","Pizzeria Horebs",25000COP,in stock,P-6673_216,,,,0,new,published,,,,,,,"sabores:Hawaiano/Horebs especial/Italiano/Jamón pollo/Jamon y queso/Margarita/Pepperoni/Pollo champiñon/Pollo jamon/Tres carnes:Horebs especial"
PH-4702_218,"Panzerotti","Sabores: Hawaiano",https://pizzeriahorebs.com/wp-content/uploads/2023/04/panzerotti-1.jpg,https://pizzeriahorebs.com/producto/panzerotti/?attribute_pa_sabores=hawaiano,"499988","Pizzeria Horebs",20000COP,in stock,P-6673_216,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,13000COP,new,published,,,,,,,"sabores:Hawaiano/Horebs especial/Italiano/Jamón pollo/Jamon y queso/Margarita/Pepperoni/Pollo champiñon/Pollo jamon/Tres carnes:Hawaiano"
PP-P-4145_212,"Pizza Pepperoni","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Pepperoni-1.jpg,https://pizzeriahorebs.com/producto/pizza-pepperoni/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",20000COP,in stock,PP-7154_208,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,16000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PP-M-5663_211,"Pizza Pepperoni","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Pepperoni-1.jpg,https://pizzeriahorebs.com/producto/pizza-pepperoni/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",0COP,in stock,PP-7154_208,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PP-G-2296_210,"Pizza Pepperoni","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/09/Pepperoni-1.jpg,https://pizzeriahorebs.com/producto/pizza-pepperoni/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",55000COP,in stock,PP-7154_208,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,40000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PJP-P-4876_206,"Pizza jamón pollo","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Jamon-pollo-1-1.jpg,https://pizzeriahorebs.com/producto/pizza-jamon-pollo/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",17000COP,in stock,PJP-5825_202,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PJP-M-8505_205,"Pizza jamón pollo","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Jamon-pollo-1-1.jpg,https://pizzeriahorebs.com/producto/pizza-jamon-pollo/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",30000COP,in stock,PJP-5825_202,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PJP-G-4351_204,"Pizza jamón pollo","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Jamon-pollo-1-1.jpg,https://pizzeriahorebs.com/producto/pizza-jamon-pollo/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",42000COP,in stock,PJP-5825_202,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
PJM-P-3981_201,"Pizza jamón maiz","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jamon-maiz-1.jpg,https://pizzeriahorebs.com/producto/pizza-jamon-maiz/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",17000COP,in stock,PJM-7727_197,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PJM-M-6521_200,"Pizza jamón maiz","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jamon-maiz-1.jpg,https://pizzeriahorebs.com/producto/pizza-jamon-maiz/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",28000COP,in stock,PJM-7727_197,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
